domain,hosts_in_use,category,status,owner,owner_profile_url,age_days,registered_date,website_url,edit_domain_id,source_page
moonangel.com,681,website,public,mrbogue,https://freedns.afraid.org/tools/contact.php?user_id=752545&subject=moonangel.com,5508,06/25/2011,http://www.moonangel.com/,685376,2
n-e-t.name,680,website,public,limit,https://freedns.afraid.org/tools/contact.php?user_id=31914&subject=n-e-t.name,7985,09/10/2004,http://www.n-e-t.name/,28301,2
clienturl.net,678,website,public,ebitechnology,https://freedns.afraid.org/tools/contact.php?user_id=673903&subject=clienturl.net,5583,04/11/2011,http://www.clienturl.net/,664545,2
custom-gaming.net,672,website,public,jantillon,https://freedns.afraid.org/tools/contact.php?user_id=543674&subject=custom-gaming.net,6058,12/22/2009,http://www.custom-gaming.net/,366845,2
birdriver.org,671,website,public,smiteofbloodston,https://freedns.afraid.org/tools/contact.php?user_id=525644&subject=birdriver.org,6112,10/28/2009,http://www.birdriver.org/,355908,2
bine.me,669,website,public,sitc,https://freedns.afraid.org/tools/contact.php?user_id=1030863&subject=bine.me,4476,04/22/2014,http://www.bine.me/,983177,2
minetest.land,669,website,public,minetest,https://freedns.afraid.org/tools/contact.php?user_id=3095930&subject=minetest.land,3031,04/06/2018,http://www.minetest.land/,1245383,2
ghostnation.org,666,website,public,vyoufinder,https://freedns.afraid.org/tools/contact.php?user_id=237021&subject=ghostnation.org,6564,08/02/2008,http://www.ghostnation.org/,261091,2
pixelfucker.com,663,website,public,ouroboros,https://freedns.afraid.org/tools/contact.php?user_id=185740&subject=pixelfucker.com,6400,01/14/2009,http://www.pixelfucker.com/,293517,2
shit.vc,663,website,public,wtfix,https://freedns.afraid.org/tools/contact.php?user_id=1069897&subject=shit.vc,4577,01/09/2014,http://www.shit.vc/,955245,2
dmtr.ru,660,website,public,evmenov,https://freedns.afraid.org/tools/contact.php?user_id=429043&subject=dmtr.ru,6493,10/12/2008,http://www.dmtr.ru/,275272,2
4twenty.us,659,website,public,silentbob420,https://freedns.afraid.org/tools/contact.php?user_id=129483&subject=4twenty.us,7763,04/21/2005,http://www.4twenty.us/,55763,2
unids.com,647,website,public,pwf1960,https://freedns.afraid.org/tools/contact.php?user_id=686653&subject=unids.com,5657,01/27/2011,http://www.unids.com/,641698,2
3cm.us,638,website,public,onaxis,https://freedns.afraid.org/tools/contact.php?user_id=637766&subject=3cm.us,5540,05/23/2011,http://www.3cm.us/,675620,2
localghost.org,636,website,public,sebastian32,https://freedns.afraid.org/tools/contact.php?user_id=2037077&subject=localghost.org,4070,06/01/2015,http://www.localghost.org/,1090166,2
kyrgyzstan.kg,635,website,public,rbogubaev,https://freedns.afraid.org/tools/contact.php?user_id=101959&subject=kyrgyzstan.kg,6233,06/28/2009,http://www.kyrgyzstan.kg/,329861,2
dx.com.ar,633,website,public,leovaro,https://freedns.afraid.org/tools/contact.php?user_id=537137&subject=dx.com.ar,6002,02/12/2010,http://www.dx.com.ar/,379610,2
mylogisoft.com,632,website,public,kyriakos,https://freedns.afraid.org/tools/contact.php?user_id=173370&subject=mylogisoft.com,7524,12/17/2005,http://www.mylogisoft.com/,92964,2
jake.eu,628,website,public,informatix,https://freedns.afraid.org/tools/contact.php?user_id=489265&subject=jake.eu,6266,05/26/2009,http://www.jake.eu/,323336,2
medscience.cl,625,website,public,jalbornoz,https://freedns.afraid.org/tools/contact.php?user_id=2675984&subject=medscience.cl,3670,07/06/2016,http://www.medscience.cl/,1165950,2
smathis.com,622,website,public,smathis,https://freedns.afraid.org/tools/contact.php?user_id=789820&subject=smathis.com,5454,08/18/2011,http://www.smathis.com/,707722,2
synoserver.com,617,website,public,mansoorseikh,https://freedns.afraid.org/tools/contact.php?user_id=813744&subject=synoserver.com,5014,10/31/2012,http://www.synoserver.com/,840409,2
aintno.info,613,website,public,dons,https://freedns.afraid.org/tools/contact.php?user_id=77509&subject=aintno.info,8066,06/23/2004,http://www.aintno.info/,22506,2
dearabba.org,611,website,private,greggwoodcock,https://freedns.afraid.org/tools/contact.php?user_id=2009607&subject=dearabba.org,7378,05/12/2006,http://www.dearabba.org/,120316,2
b33r.us,604,website,public,kaimay,https://freedns.afraid.org/tools/contact.php?user_id=611343&subject=b33r.us,7100,02/13/2007,http://www.b33r.us/,163636,2
forss.to,602,website,public,ericw,https://freedns.afraid.org/tools/contact.php?user_id=222830&subject=forss.to,6380,02/01/2009,http://www.forss.to/,297581,2
flazzard.com,599,website,public,joedelta,https://freedns.afraid.org/tools/contact.php?user_id=192871&subject=flazzard.com,7298,07/31/2006,http://www.flazzard.com/,132008,2
mathewparkin.com,599,website,public,mparkin,https://freedns.afraid.org/tools/contact.php?user_id=417302&subject=mathewparkin.com,6541,08/26/2008,http://www.mathewparkin.com/,265759,2
eminescusm.ro,598,website,public,rotaruliviudan,https://freedns.afraid.org/tools/contact.php?user_id=2391219&subject=eminescusm.ro,3985,08/26/2015,http://www.eminescusm.ro/,1107695,2
compuinter.com,597,website,public,marbelaez26,https://freedns.afraid.org/tools/contact.php?user_id=228759&subject=compuinter.com,7313,07/16/2006,http://www.compuinter.com/,129791,2
sumibi.org,596,website,public,kiyoka,https://freedns.afraid.org/tools/contact.php?user_id=261390&subject=sumibi.org,7173,12/02/2006,http://www.sumibi.org/,151879,2
100mountain.com,592,website,public,tsengjs,https://freedns.afraid.org/tools/contact.php?user_id=545414&subject=100mountain.com,6028,01/21/2010,http://www.100mountain.com/,373770,2
bouncers4rent.com,587,website,public,jtom888,https://freedns.afraid.org/tools/contact.php?user_id=491613&subject=bouncers4rent.com,6259,06/04/2009,http://www.bouncers4rent.com/,325115,2
4040.idv.tw,580,website,public,paulliu,https://freedns.afraid.org/tools/contact.php?user_id=163078&subject=4040.idv.tw,7570,10/31/2005,http://www.4040.idv.tw/,82359,2
dyn.ch,580,website,private,virtualmedia,https://freedns.afraid.org/tools/contact.php?user_id=404859&subject=dyn.ch,6590,07/08/2008,http://www.dyn.ch/,255900,2
24x7.hk,579,website,public,khleung,https://freedns.afraid.org/tools/contact.php?user_id=1578031&subject=24x7.hk,4630,11/18/2013,http://www.24x7.hk/,941033,2
litecsys.com,577,website,public,lidaming,https://freedns.afraid.org/tools/contact.php?user_id=59769&subject=litecsys.com,7332,06/27/2006,http://www.litecsys.com/,127201,2
gigaportal.pl,573,website,public,mcalex01,https://freedns.afraid.org/tools/contact.php?user_id=118734&subject=gigaportal.pl,7825,02/17/2005,http://www.gigaportal.pl/,48546,2
30x.ru,570,website,public,nep407,https://freedns.afraid.org/tools/contact.php?user_id=3061762&subject=30x.ru,2962,06/13/2018,http://www.30x.ru/,1251696,2
keriss.co.id,558,website,public,resza,https://freedns.afraid.org/tools/contact.php?user_id=513511&subject=keriss.co.id,6177,08/24/2009,http://www.keriss.co.id/,340790,2
shekinahphotography.com,558,website,public,shekinah,https://freedns.afraid.org/tools/contact.php?user_id=326791&subject=shekinahphotography.com,6897,09/05/2007,http://www.shekinahphotography.com/,196881,2
lain.ch,557,website,public,cbzrico,https://freedns.afraid.org/tools/contact.php?user_id=799448&subject=lain.ch,5442,08/30/2011,http://www.lain.ch/,713310,2
jundy.org,556,website,public,jundy,https://freedns.afraid.org/tools/contact.php?user_id=330266&subject=jundy.org,6882,09/19/2007,http://www.jundy.org/,199133,2
jonward.com,553,website,public,jwlondon,https://freedns.afraid.org/tools/contact.php?user_id=512264&subject=jonward.com,6183,08/19/2009,http://www.jonward.com/,339802,2
hitremixes.com,545,website,public,intron,https://freedns.afraid.org/tools/contact.php?user_id=669941&subject=hitremixes.com,5710,12/05/2010,http://www.hitremixes.com/,588575,2
apocalypto.org.uk,542,website,public,dtlg7uvw,https://freedns.afraid.org/tools/contact.php?user_id=187805&subject=apocalypto.org.uk,5481,07/21/2011,http://www.apocalypto.org.uk/,695972,2
coreytech.com,540,website,public,djcorey,https://freedns.afraid.org/tools/contact.php?user_id=190899&subject=coreytech.com,7451,02/28/2006,http://www.coreytech.com/,108042,2
networkindia.com,539,website,public,deepatel,https://freedns.afraid.org/tools/contact.php?user_id=1389067&subject=networkindia.com,4784,06/18/2013,http://www.networkindia.com/,904454,2
